Line,Time,Remark
1,2022_04_22 19:49:27.394374,TM91395002,ENE,Address87 Part:,RL 87
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=25.2, GROUND=HYDRANT, MSPLATE=82H, HARMONIC=22.7, V NON-SHUNT=28.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:59:55.594374,TM91395002: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 20:57:25.594374,TM91395002: Comment: CONTACT S&R
4,2022_04_22 23:34:05.794374,TM91395002: Comment: BFS REQUIRED ON SITE
5,2022_04_23 02:08:46.594374,TM91395002: Comment: FROM 25XI TO 47SY
6,2022_04_23 03:01:38.194374,"TM91395002: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
7,2022_04_23 04:09:58.594374,TM91395002: Comment: 3.7 VOLTS REMAINING
8,2022_04_23 05:51:59.794374,TM91395002: Comment: CREW NOTIFIED
9,2022_04_23 07:37:15.394374,"TM91395002: Comment: SURVEY CONDUCTED, REPORTS 40BQ"
10,2022_04_23 08:22:17.794374,TM91395002: Comment: 28% HARMONICS
