Line,Time,Remark
1,2022_04_22 19:04:38.862635,OF11454931,ENE,Address193 Part:,EB 193
,,"STRUCTURE=STORM DRAIN, VOLTAGE=36.6, GROUND=OFTAL FENCE, MSPLATE=97J, HARMONIC=20.7, V NON-SHUNT=90.6, STATUS=CREW WAITING"
2,2022_04_22 21:36:03.462635,OF11454931: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_23 00:33:02.262635,"OF11454931: Comment: SURVEY CONDUCTED, REPORTS 63BQ"
4,2022_04_23 01:06:02.262635,OF11454931: Comment: FROM 60H TO 50CE
5,2022_04_23 02:51:17.862635,OF11454931: Comment: CONTACT S&R
6,2022_04_23 05:31:40.062635,OF11454931: Comment: 27.2 VOLTS
7,2022_04_23 08:04:10.062635,OF11454931: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 08:55:41.262635,OF11454931: Comment: CREW NOTIFIED
9,2022_04_23 11:36:52.062635,OF11454931: Comment: 40% HARMONICS
10,2022_04_23 13:52:35.262635,OF11454931: Comment: ELECTRICIAN RELEASED AT 5:40HRS
