Line,Time,Remark
1,2022_04_23 04:54:18.421574,RL82952875,ENE,Address129 Part:,HD 129
,,"STRUCTURE=DIRT, VOLTAGE=38.6, GROUND=HYDRANT, MSPLATE=57ZB, HARMONIC=49.9, V NON-SHUNT=17.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 06:53:52.021574,RL82952875: Comment: BFS REQUIRED ON SITE
3,2022_04_23 09:26:11.821574,RL82952875: Comment: 30.7 VOLTS
4,2022_04_23 09:58:21.421574,RL82952875: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_23 10:59:37.021574,"RL82952875: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
6,2022_04_23 11:38:20.221574,"RL82952875: Comment: SURVEY CONDUCTED, REPORTS 53BQ"
7,2022_04_23 13:21:47.221574,RL82952875: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
8,2022_04_23 14:08:37.021574,RL82952875: Comment: 4.2 VOLTS REMAINING
9,2022_04_23 16:16:31.621574,RL82952875: Comment: FLUSH NEEDED
10,2022_04_23 19:00:52.621574,RL82952875: Comment: EXPECTED GAS CAP GOT ROLLDOWN GATE
