Line,Time,Remark
1,2022_04_22 19:33:17.235827,EB13927727,ENE,Address151 Part:,HD 151
,,"STRUCTURE=ASPHALT, VOLTAGE=85.5, GROUND=OFTAL FENCE, MSPLATE=78K, HARMONIC=32.6, V NON-SHUNT=49.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:57:41.835827,EB13927727: Comment: 25% HARMONICS
3,2022_04_22 20:27:10.635827,"EB13927727: Comment: SURVEY CONDUCTED, REPORTS 31BQ"
4,2022_04_22 21:47:33.435827,EB13927727: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 00:19:42.435827,EB13927727: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 01:09:17.235827,EB13927727: Comment: FROM 99FQ TO 28O
7,2022_04_23 01:35:40.635827,EB13927727: Comment: 8.2 VOLTS
8,2022_04_23 03:48:01.635827,EB13927727: Comment: LOAD TEST SUCCEEDED AT 7:46HRS
9,2022_04_23 06:15:19.635827,EB13927727: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 08:40:44.835827,"EB13927727: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
11,2022_04_23 11:30:55.635827,EB13927727: Comment: CREW NOTIFIED
12,2022_04_23 14:06:19.635827,EB13927727: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
