Line,Time,Remark
1,2022_04_23 05:01:57.948288,HD44152482,ENE,Address25 Part:,RL 25
,,"STRUCTURE=SIDEWALK, VOLTAGE=76.0, GROUND=HYDRANT, MSPLATE=70M, HARMONIC=34.0, V NON-SHUNT=97.4, STATUS=CREW WAITING"
2,2022_04_23 06:22:44.148288,HD44152482: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_23 09:17:20.148288,HD44152482: Comment: 1.8 VOLTS REMAINING
4,2022_04_23 10:19:57.348288,HD44152482: Comment: CONTACT S&R
5,2022_04_23 12:25:34.548288,"HD44152482: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
6,2022_04_23 14:16:00.348288,"HD44152482: Comment: SURVEY CONDUCTED, REPORTS 12BQ"
7,2022_04_23 15:34:03.348288,HD44152482: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 16:56:06.948288,HD44152482: Comment: LOAD TEST SUCCEEDED AT 1:31HRS
9,2022_04_23 17:41:25.548288,HD44152482: Comment: 9% HARMONICS
10,2022_04_23 18:31:36.348288,HD44152482: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 19:38:24.348288,HD44152482: Comment: ELECTRICIAN RELEASED AT 11:47HRS
12,2022_04_23 21:42:18.348288,HD44152482: Comment: 23.5 VOLTS
13,2022_04_24 00:25:31.548288,HD44152482: Comment: CREW NOTIFIED
14,2022_04_24 03:15:44.148288,HD44152482: Comment: EXPECTED MANHOLE COVER GOT ASPHALT
