Line,Time,Remark
1,2022_04_23 04:07:51.970374,EB14524121,ENE,Address53 Part:,HD 53
,,"STRUCTURE=SERVICE BOX, VOLTAGE=69.0, GROUND=HYDRANT, MSPLATE=57WX, HARMONIC=2.7, V NON-SHUNT=48.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 06:23:19.570374,"EB14524121: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
3,2022_04_23 08:04:14.770374,EB14524121: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 10:55:23.170374,EB14524121: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 12:46:25.570374,EB14524121: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 15:43:33.970374,"EB14524121: Comment: SURVEY CONDUCTED, REPORTS 44BQ"
7,2022_04_23 18:39:39.370374,EB14524121: Comment: LOAD TEST SUCCEEDED AT 8:15HRS
8,2022_04_23 20:22:09.970374,EB14524121: Comment: 19% HARMONICS
9,2022_04_23 21:44:53.770374,EB14524121: Comment: FLUSH NEEDED
