Line,Time,Remark
1,2022_04_23 04:15:27.450934,RL20470450,ENE,Address174 Part:,OF 174
,,"STRUCTURE=GAS CAP, VOLTAGE=82.1, GROUND=HYDRANT, MSPLATE=34W, HARMONIC=33.9, V NON-SHUNT=64.8, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 04:41:02.250934,RL20470450: Comment: LOAD TEST SUCCEEDED AT 11:37HRS
3,2022_04_23 05:22:34.650934,RL20470450: Comment: FLUSH NEEDED
4,2022_04_23 06:41:39.450934,RL20470450: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 08:18:59.850934,RL20470450: Comment: EXPECTED TRAFFIC LIGHT GOT STORM DRAIN
6,2022_04_23 11:01:40.650934,RL20470450: Comment: BFS REQUIRED ON SITE
7,2022_04_23 11:47:12.450934,RL20470450: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 12:45:33.450934,RL20470450: Comment: CREW NOTIFIED
9,2022_04_23 13:32:09.450934,"RL20470450: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
10,2022_04_23 14:42:47.850934,"RL20470450: Comment: SURVEY CONDUCTED, REPORTS 51BQ"
11,2022_04_23 15:24:08.850934,RL20470450: Comment: ADDITIONAL ASSISTANCE NEEDED
12,2022_04_23 15:34:14.850934,RL20470450: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
13,2022_04_23 17:07:09.450934,RL20470450: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
14,2022_04_23 17:47:43.650934,RL20470450: Comment: 40.9 VOLTS
