Line,Time,Remark
1,2022_04_22 16:01:59.154287,RL30771911,ENE,Address31 Part:,EB 31
,,"STRUCTURE=SIDEWALK, VOLTAGE=33.1, GROUND=OFTAL FENCE, MSPLATE=13XT, HARMONIC=45.9, V NON-SHUNT=75.1, STATUS=CREW WAITING"
2,2022_04_22 17:09:16.554287,"RL30771911: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
3,2022_04_22 18:58:06.354287,RL30771911: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_22 20:22:18.954287,RL30771911: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_22 21:09:42.354287,RL30771911: Comment: 87.3 VOLTS
6,2022_04_22 22:40:39.954287,RL30771911: Comment: FROM 89D TO 93H
7,2022_04_22 23:23:32.154287,RL30771911: Comment: 7.3 VOLTS REMAINING
8,2022_04_23 01:42:59.154287,RL30771911: Comment: 11% HARMONICS
9,2022_04_23 04:33:59.154287,RL30771911: Comment: CONTACT S&R
10,2022_04_23 04:54:50.154287,RL30771911: Comment: FLUSH NEEDED
11,2022_04_23 06:02:12.954287,RL30771911: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 06:34:20.754287,"RL30771911: Comment: SURVEY CONDUCTED, REPORTS 66BQ"
