Line,Time,Remark
1,2022_04_23 00:22:19.646934,HD45939323,ENE,Address168 Part:,EB 168
,,"STRUCTURE=DIRT, VOLTAGE=59.2, GROUND=HDTAL CURB, MSPLATE=39X, HARMONIC=6.0, V NON-SHUNT=46.0, STATUS=CREW WAITING"
2,2022_04_23 01:13:25.646934,HD45939323: Comment: EXPECTED ROLLDOWN GATE GOT TRAFFIC LIGHT
3,2022_04_23 03:57:43.646934,HD45939323: Comment: 0.8 VOLTS REMAINING
4,2022_04_23 06:41:13.046934,HD45939323: Comment: ELECTRICIAN RELEASED AT 8:39HRS
5,2022_04_23 07:54:23.246934,HD45939323: Comment: CONTACT S&R
6,2022_04_23 10:53:52.646934,HD45939323: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 12:43:59.846934,HD45939323: Comment: CREW NOTIFIED
8,2022_04_23 13:34:22.046934,HD45939323: Comment: FLUSH NEEDED
9,2022_04_23 14:44:49.046934,HD45939323: Comment: BFS REQUIRED ON SITE
10,2022_04_23 17:22:37.046934,"HD45939323: Comment: SURVEY CONDUCTED, REPORTS 22BQ"
11,2022_04_23 18:48:32.246934,HD45939323: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_23 20:35:14.246934,HD45939323: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
13,2022_04_23 21:24:04.646934,HD45939323: Comment: 42.9 VOLTS
