Line,Time,Remark
1,2022_04_22 13:01:28.010375,HD05255776,ENE,Address112 Part:,TM 112
,,"STRUCTURE=ASPHALT, VOLTAGE=24.6, GROUND=OFTAL FENCE, MSPLATE=15U, HARMONIC=37.2, V NON-SHUNT=17.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 14:43:04.610375,HD05255776: Comment: 34% HARMONICS
3,2022_04_22 17:00:47.210375,HD05255776: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_22 18:43:25.010375,"HD05255776: Comment: SURVEY CONDUCTED, REPORTS 67BQ"
5,2022_04_22 21:39:04.610375,HD05255776: Comment: LOAD TEST SUCCEEDED AT 6:25HRS
6,2022_04_22 21:50:17.210375,HD05255776: Comment: CONTACT S&R
7,2022_04_23 00:01:14.210375,HD05255776: Comment: CREW REPORTS VEHICLE NEEDS TO HD MOVED
8,2022_04_23 01:53:19.010375,"HD05255776: Comment: INFOROFD I&A, CREW WILL HD ON LOCATION UNTIL 1PM"
9,2022_04_23 04:49:58.610375,HD05255776: Comment: 4.7 VOLTS REMAINING
10,2022_04_23 07:26:40.010375,HD05255776: Comment: FLUSH NEEDED
11,2022_04_23 08:03:42.410375,HD05255776: Comment: EXPECTED ASPHALT GOT STREET LIGHT
