Line,Time,Remark
1,2022_04_23 02:19:06.999375,EB05574047,ENE,Address95 Part:,OF 95
,,"STRUCTURE=ASPHALT, VOLTAGE=12.1, GROUND=STREETSIGN, MSPLATE=61TZ, HARMONIC=5.7, V NON-SHUNT=80.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 03:47:54.399375,EB05574047: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 05:19:33.399375,EB05574047: Comment: FROM 38AX TO 81KZ
4,2022_04_23 06:38:30.999375,EB05574047: Comment: 8.4 VOLTS REMAINING
5,2022_04_23 08:41:56.799375,EB05574047: Comment: CREW NOTIFIED
6,2022_04_23 11:12:53.199375,EB05574047: Comment: ADDITIONAL ASSISTANCE NEEDED
7,2022_04_23 12:32:06.399375,EB05574047: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 12:40:24.399375,"EB05574047: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
9,2022_04_23 15:30:54.399375,EB05574047: Comment: 6% HARMONICS
10,2022_04_23 17:20:33.399375,EB05574047: Comment: CONTACT S&R
11,2022_04_23 19:14:31.599375,EB05574047: Comment: FLUSH NEEDED
12,2022_04_23 20:17:39.399375,EB05574047: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
13,2022_04_23 20:52:59.799375,EB05574047: Comment: EXPECTED MANHOLE COVER GOT ASPHALT
