Line,Time,Remark
1,2022_04_22 20:30:22.542288,EB55680702,ENE,Address16 Part:,RL 16
,,"STRUCTURE=SERVICE BOX, VOLTAGE=20.4, GROUND=HYDRANT, MSPLATE=13R, HARMONIC=28.9, V NON-SHUNT=85.2, STATUS=CREW WAITING"
2,2022_04_22 22:23:24.942288,EB55680702: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 01:02:00.342288,EB55680702: Comment: 11% HARMONICS
4,2022_04_23 01:16:57.342288,EB55680702: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 04:13:20.742288,EB55680702: Comment: ELECTRICIAN RELEASED AT 7:20HRS
6,2022_04_23 04:25:00.942288,EB55680702: Comment: 91.3 VOLTS
7,2022_04_23 04:41:23.142288,EB55680702: Comment: FLUSH NEEDED
8,2022_04_23 05:43:27.942288,EB55680702: Comment: CONTACT S&R
9,2022_04_23 06:03:15.342288,EB55680702: Comment: EXPECTED STORM DRAIN GOT MANHOLE COVER
10,2022_04_23 06:47:19.542288,"EB55680702: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
11,2022_04_23 08:35:10.542288,EB55680702: Comment: LOAD TEST SUCCEEDED AT 5:11HRS
12,2022_04_23 11:31:33.342288,EB55680702: Comment: FROM 07AW TO 35C
13,2022_04_23 12:07:26.742288,EB55680702: Comment: ADDITIONAL ASSISTANCE NEEDED
