Line,Time,Remark
1,2022_04_22 19:14:53.204374,EB87166477,ENE,Address103 Part:,TM 103
,,"STRUCTURE=STORM DRAIN, VOLTAGE=71.0, GROUND=HYDRANT, MSPLATE=00ZJ, HARMONIC=45.3, V NON-SHUNT=81.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 21:03:35.804374,EB87166477: Comment: FLUSH NEEDED
3,2022_04_22 21:09:10.604374,EB87166477: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 21:39:52.604374,EB87166477: Comment: CREW NOTIFIED
5,2022_04_22 22:24:10.604374,EB87166477: Comment: BFS REQUIRED ON SITE
6,2022_04_23 01:19:54.404374,EB87166477: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 02:21:13.004374,EB87166477: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
8,2022_04_23 02:26:48.404374,EB87166477: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 04:05:21.404374,EB87166477: Comment: 22% HARMONICS
10,2022_04_23 05:04:10.604374,EB87166477: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 05:22:04.604374,EB87166477: Comment: EXPECTED STREET LIGHT GOT SERVICE BOX
12,2022_04_23 08:01:47.204374,"EB87166477: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
13,2022_04_23 09:37:53.804374,EB87166477: Comment: ELECTRICIAN RELEASED AT 5:44HRS
14,2022_04_23 10:13:22.604374,EB87166477: Comment: LOAD TEST SUCCEEDED AT 5:52HRS
15,2022_04_23 10:46:25.004374,"EB87166477: Comment: SURVEY CONDUCTED, REPORTS 78BQ"
