Line,Time,Remark
1,2022_04_23 00:50:11.836827,RL19991033,ENE,Address153 Part:,EB 153
,,"STRUCTURE=SIDEWALK, VOLTAGE=13.5, GROUND=OFTAL CURB, MSPLATE=87X, HARMONIC=31.5, V NON-SHUNT=27.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 01:19:11.836827,RL19991033: Comment: FLUSH NEEDED
3,2022_04_23 01:47:47.836827,RL19991033: Comment: 1.3 VOLTS REMAINING
4,2022_04_23 04:10:10.636827,"RL19991033: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
5,2022_04_23 07:07:08.236827,RL19991033: Comment: CONTACT S&R
6,2022_04_23 09:46:23.836827,RL19991033: Comment: BFS REQUIRED ON SITE
7,2022_04_23 12:26:35.236827,RL19991033: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 14:46:07.036827,RL19991033: Comment: FROM 65R TO 88G
9,2022_04_23 17:43:01.636827,RL19991033: Comment: 47.3 VOLTS
10,2022_04_23 19:47:59.236827,RL19991033: Comment: LOAD TEST SUCCEEDED AT 5:54HRS
