Line,Time,Remark
1,2022_04_22 18:39:45.428719,RL85932497,ENE,Address140 Part:,RL 140
,,"STRUCTURE=ASPHALT, VOLTAGE=7.3, GROUND=HYDRANT, MSPLATE=84OW, HARMONIC=3.1, V NON-SHUNT=59.3, STATUS=CREW WAITING"
2,2022_04_22 20:26:41.228719,RL85932497: Comment: FLUSH NEEDED
3,2022_04_22 20:48:51.428719,RL85932497: Comment: 42.0 VOLTS
4,2022_04_22 21:23:15.428719,RL85932497: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_22 22:42:52.628719,RL85932497: Comment: FROM 43J TO 87T
6,2022_04_23 00:34:17.228719,RL85932497: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 01:11:17.828719,RL85932497: Comment: 4.9 VOLTS REMAINING
8,2022_04_23 03:04:29.228719,RL85932497: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 03:16:06.428719,RL85932497: Comment: LOAD TEST SUCCEEDED AT 4:20HRS
